Function,Count,Inclusive time (ms),Inclusive time %,Exclusive time (ms),Exclusive time %,Avg time (ms),Max time (ms),Min time (ms),Function type,URL,Line number,Worker Id
Plotly.plot,16,"5,900.30",99.56,0.00,0.00,368.77,387.94,345.24,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"30,484",0
lib.syncOrAsync,223,"5,878.29",99.19,2.00,0.03,26.36,387.94,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"27,685",0
updateData,15,"5,568.06",93.96,1.00,0.02,371.20,388.94,345.24,User,file:///C:/DEV/plotly.js/sample/chart_perf.js,23,0
restyle,15,"5,567.06",93.94,1.00,0.02,371.14,388.94,345.24,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"31,610",0
Anonymous function,15,"5,230.83",88.27,0.00,0.00,348.72,388.94,8.01,User,file:///C:/DEV/plotly.js/sample/chart_perf.js,75,0
d3_selection_each,"86,933","5,118.77",86.37,40.03,0.68,0.06,44.03,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,506",0
d3_selectionPrototype.each,"27,531","4,040.15",68.17,6.00,0.10,0.15,44.03,0.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"1,501",0
drawAxes,32,"3,179.45",53.65,1.00,0.02,99.36,132.09,46.04,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"30,705",0
axes.doTicks,96,"3,178.45",53.63,2.00,0.03,33.11,132.09,9.01,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,481",0
Array.map,"9,235","3,001.44",50.65,5.01,0.08,0.33,99.07,0.00,Built-in,,0,0
Anonymous function,64,"2,979.43",50.28,1.00,0.02,46.55,99.07,9.01,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"36,514",0
Anonymous function,64,"2,962.42",49.99,0.00,0.00,46.29,99.07,9.00,User,file:///C:/DEV/plotly.js/dist/plotly-ion.js,"37,068",0
